key_value_pairs,event_name,user_pseudo_id,time_stamp,unix_time_stamp,unix_time_stamp_offset
id=-2143367296;Autos + Vehicles=false;Style + DIY=false;Comedy=false;Gaming=false,study_event,4fdb581f7dd367320fe198d9e4047d41,2021-03-04 19:25:34.874008 UTC,1.61489E+15,26
id=-2143367296;Entertainment=false;Music=true;Pets + Animals=false;toggleSetting=focus,study_event,4fdb581f7dd367320fe198d9e4047d41,2021-03-04 19:25:34.875009 UTC,1.61489E+15,26
id=-2143367296;param_feed_name=NA;param_feed_new_value=NA;param_current_view=NA,study_event,4fdb581f7dd367320fe198d9e4047d41,2021-03-04 19:25:34.876012 UTC,1.61489E+15,26
id=-2143367296;param_pid=880000;param_condition=mixed;param_time_zone=Pacific Standard Time,study_event,4fdb581f7dd367320fe198d9e4047d41,2021-03-04 19:25:34.873006 UTC,1.61489E+15,26
id=-2143367296;action=action_video_started;param_session_id=15;param_timestamp=1614885934868,study_event,4fdb581f7dd367320fe198d9e4047d41,2021-03-04 19:25:34.873005 UTC,1.61489E+15,26
id=-2143367296;param_condition_previous_total_time=NA;param_esm_question=NA;param_esm_response=NA,study_event,4fdb581f7dd367320fe198d9e4047d41,2021-03-04 19:25:34.876011 UTC,1.61489E+15,26
id=-2143367296;param_video_source=from_search_results;param_video_watch_duration=NA,study_event,4fdb581f7dd367320fe198d9e4047d41,2021-03-04 19:25:34.877014 UTC,1.61489E+15,26
id=-2143367296;param_device=Moto E (4);param_android_id=8526f4ba19228c88;Trending=false,study_event,4fdb581f7dd367320fe198d9e4047d41,2021-03-04 19:25:34.874007 UTC,1.61489E+15,26
id=-2143367296;param_condition_new=NA;param_condition_previous=NA,study_event,4fdb581f7dd367320fe198d9e4047d41,2021-03-04 19:25:34.87501 UTC,1.61489E+15,26
id=-2143367296;param_search_term=NA;param_video_id=aXzVF3XeS8M,study_event,4fdb581f7dd367320fe198d9e4047d41,2021-03-04 19:25:34.876013 UTC,1.61489E+15,26
id=1599608965;Autos + Vehicles=NA;Style + DIY=NA;Comedy=NA;Gaming=NA;Entertainment=NA;Music=NA,study_event,4fdb581f7dd367320fe198d9e4047d41,2021-03-04 19:31:27.796015 UTC,1.61489E+15,422
id=1044993525;param_pid=880000;param_condition=mixed;param_time_zone=Pacific Standard Time,study_event,4fdb581f7dd367320fe198d9e4047d41,2021-03-04 19:30:27.688002 UTC,1.61489E+15,422
id=1044993525;param_device=Moto E (4);param_android_id=8526f4ba19228c88;Trending=NA,study_event,4fdb581f7dd367320fe198d9e4047d41,2021-03-04 19:30:27.688003 UTC,1.61489E+15,422
id=1599608965;param_esm_question=NA;param_esm_response=NA;param_feed_name=NA,study_event,4fdb581f7dd367320fe198d9e4047d41,2021-03-04 19:31:27.797018 UTC,1.61489E+15,422
id=1044993525;Pets + Animals=NA;toggleSetting=explore;param_condition_new=NA,study_event,4fdb581f7dd367320fe198d9e4047d41,2021-03-04 19:30:27.688005 UTC,1.61489E+15,422
id=1599608965;param_feed_new_value=NA;param_current_view=NA;param_search_term=NA;param_video_id=NA,study_event,4fdb581f7dd367320fe198d9e4047d41,2021-03-04 19:31:27.797019 UTC,1.61489E+15,422
id=1044993525;Autos + Vehicles=NA;Style + DIY=NA;Comedy=NA;Gaming=NA;Entertainment=NA;Music=NA,study_event,4fdb581f7dd367320fe198d9e4047d41,2021-03-04 19:30:27.688004 UTC,1.61489E+15,422
id=1044993525;param_esm_question=NA;param_esm_response=NA;param_feed_name=NA,study_event,4fdb581f7dd367320fe198d9e4047d41,2021-03-04 19:30:27.689007 UTC,1.61489E+15,422
id=1044993525;param_feed_new_value=NA;param_current_view=NA;param_search_term=NA;param_video_id=NA,study_event,4fdb581f7dd367320fe198d9e4047d41,2021-03-04 19:30:27.689008 UTC,1.61489E+15,422
id=1599608965;param_pid=880000;param_condition=mixed;param_time_zone=Pacific Standard Time,study_event,4fdb581f7dd367320fe198d9e4047d41,2021-03-04 19:31:27.796013 UTC,1.61489E+15,422
id=1599608965;param_video_source=NA;param_video_watch_duration=NA,study_event,4fdb581f7dd367320fe198d9e4047d41,2021-03-04 19:31:27.79702 UTC,1.61489E+15,422
id=1044993525;action=action_session_ended;param_session_id=15;param_timestamp=1614886227686,study_event,4fdb581f7dd367320fe198d9e4047d41,2021-03-04 19:30:27.688001 UTC,1.61489E+15,422
id=1044993525;param_condition_previous=NA;param_condition_previous_total_time=NA,study_event,4fdb581f7dd367320fe198d9e4047d41,2021-03-04 19:30:27.689006 UTC,1.61489E+15,422
id=1044993525;param_video_source=NA;param_video_watch_duration=NA;param_video_total_duration=NA,study_event,4fdb581f7dd367320fe198d9e4047d41,2021-03-04 19:30:27.689009 UTC,1.61489E+15,422
id=1599608965;Pets + Animals=NA;toggleSetting=explore;param_condition_new=NA,study_event,4fdb581f7dd367320fe198d9e4047d41,2021-03-04 19:31:27.796016 UTC,1.61489E+15,422
id=1044993525;param_session_start_time=1614885049122,study_event,4fdb581f7dd367320fe198d9e4047d41,2021-03-04 19:30:27.68901 UTC,1.61489E+15,422
id=1599608965;action=action_esm_expired;param_session_id=15;param_timestamp=1614886287792,study_event,4fdb581f7dd367320fe198d9e4047d41,2021-03-04 19:31:27.795012 UTC,1.61489E+15,422
id=1599608965;param_device=Moto E (4);param_android_id=8526f4ba19228c88;Trending=NA,study_event,4fdb581f7dd367320fe198d9e4047d41,2021-03-04 19:31:27.796014 UTC,1.61489E+15,422
id=1599608965;param_condition_previous=NA;param_condition_previous_total_time=NA,study_event,4fdb581f7dd367320fe198d9e4047d41,2021-03-04 19:31:27.796017 UTC,1.61489E+15,422
id=-499420239;param_device=SM-G900V;param_android_id=1c8022350147cc03;Trending=false,study_event,1d3e740345da6d251a1c72c59d531f54,2020-12-14 18:22:24.660014 UTC,1.60797E+15,993
id=-499420239;Comedy=false;Music=false;Pets + Animals=false;toggleSetting=focus,study_event,1d3e740345da6d251a1c72c59d531f54,2020-12-14 18:22:24.661016 UTC,1.60797E+15,993
id=-499420239;param_feed_name=NA;param_feed_new_value=NA;param_current_view=NA;param_search_term=NA,study_event,1d3e740345da6d251a1c72c59d531f54,2020-12-14 18:22:24.661019 UTC,1.60797E+15,993
id=-499420239;param_video_total_duration=NA;param_session_start_time=1607970141851,study_event,1d3e740345da6d251a1c72c59d531f54,2020-12-14 18:22:24.661021 UTC,1.60797E+15,993
id=684582687;Music=false;Pets + Animals=false;toggleSetting=focus;param_condition_new=NA,study_event,1d3e740345da6d251a1c72c59d531f54,2020-12-14 18:22:25.000036 UTC,1.60797E+15,993
id=684582687;param_video_watch_duration=NA;param_video_total_duration=NA,study_event,1d3e740345da6d251a1c72c59d531f54,2020-12-14 18:22:25.00004 UTC,1.60797E+15,993
id=-1834291503;Comedy=false;Music=false;Pets + Animals=false;toggleSetting=focus,study_event,1d3e740345da6d251a1c72c59d531f54,2020-12-14 18:22:25.093056 UTC,1.60797E+15,993
id=-1834291503;param_condition_new=NA;param_condition_previous=NA,study_event,1d3e740345da6d251a1c72c59d531f54,2020-12-14 18:22:25.093057 UTC,1.60797E+15,993
id=-1834291503;param_video_watch_duration=NA;param_video_total_duration=NA,study_event,1d3e740345da6d251a1c72c59d531f54,2020-12-14 18:22:25.094061 UTC,1.60797E+15,993
id=64066754;action=action_session_ended;param_session_id=233;param_timestamp=1607970144594,study_event,1d3e740345da6d251a1c72c59d531f54,2020-12-14 18:22:24.603002 UTC,1.60797E+15,993
id=64066754;param_video_watch_duration=NA;param_video_total_duration=NA,study_event,1d3e740345da6d251a1c72c59d531f54,2020-12-14 18:22:24.60401 UTC,1.60797E+15,993
id=-501286418;param_device=SM-G900V;param_android_id=1c8022350147cc03;Trending=false,study_event,1d3e740345da6d251a1c72c59d531f54,2020-12-14 18:22:24.673024 UTC,1.60797E+15,993
id=-501286418;param_condition_new=NA;param_condition_previous=NA,study_event,1d3e740345da6d251a1c72c59d531f54,2020-12-14 18:22:24.673027 UTC,1.60797E+15,993
id=-501286418;param_condition_previous_total_time=NA;param_esm_question=NA;param_esm_response=NA,study_event,1d3e740345da6d251a1c72c59d531f54,2020-12-14 18:22:24.673028 UTC,1.60797E+15,993
id=1642927628;param_video_total_duration=NA;param_session_start_time=1607970141851,study_event,1d3e740345da6d251a1c72c59d531f54,2020-12-14 18:22:25.082051 UTC,1.60797E+15,993
id=-1834291503;param_device=SM-G900V;param_android_id=1c8022350147cc03;Trending=false,study_event,1d3e740345da6d251a1c72c59d531f54,2020-12-14 18:22:25.093054 UTC,1.60797E+15,993
id=-1834291503;param_search_term=NA;param_video_id=NA;param_video_source=NA,study_event,1d3e740345da6d251a1c72c59d531f54,2020-12-14 18:22:25.09306 UTC,1.60797E+15,993
id=-499420239;param_condition_new=NA;param_condition_previous=NA,study_event,1d3e740345da6d251a1c72c59d531f54,2020-12-14 18:22:24.661017 UTC,1.60797E+15,993
id=-501286418;param_feed_name=NA;param_feed_new_value=NA;param_current_view=NA;param_search_term=NA,study_event,1d3e740345da6d251a1c72c59d531f54,2020-12-14 18:22:24.673029 UTC,1.60797E+15,993
id=684582687;action=action_session_ended;param_session_id=233;param_timestamp=1607970144999,study_event,1d3e740345da6d251a1c72c59d531f54,2020-12-14 18:22:24.999032 UTC,1.60797E+15,993
id=684582687;param_current_view=NA;param_search_term=NA;param_video_id=NA;param_video_source=NA,study_event,1d3e740345da6d251a1c72c59d531f54,2020-12-14 18:22:25.000039 UTC,1.60797E+15,993
id=684582687;param_session_start_time=1607970141851,study_event,1d3e740345da6d251a1c72c59d531f54,2020-12-14 18:22:25.000041 UTC,1.60797E+15,993
id=1642927628;Autos + Vehicles=false;Style + DIY=false;Gaming=false;Entertainment=false,study_event,1d3e740345da6d251a1c72c59d531f54,2020-12-14 18:22:25.082045 UTC,1.60797E+15,993
id=-1834291503;action=action_session_ended;param_session_id=233;param_timestamp=1607970145092,study_event,1d3e740345da6d251a1c72c59d531f54,2020-12-14 18:22:25.093052 UTC,1.60797E+15,993
id=-1834291503;param_feed_name=NA;param_feed_new_value=NA;param_current_view=NA,study_event,1d3e740345da6d251a1c72c59d531f54,2020-12-14 18:22:25.093059 UTC,1.60797E+15,993
id=64066754;Music=false;Pets + Animals=false;toggleSetting=focus;param_condition_new=NA,study_event,1d3e740345da6d251a1c72c59d531f54,2020-12-14 18:22:24.604006 UTC,1.60797E+15,993
id=64066754;param_current_view=NA;param_search_term=NA;param_video_id=NA;param_video_source=NA,study_event,1d3e740345da6d251a1c72c59d531f54,2020-12-14 18:22:24.604009 UTC,1.60797E+15,993
id=-499420239;param_pid=880000;param_condition=mixed;param_time_zone=Eastern Standard Time,study_event,1d3e740345da6d251a1c72c59d531f54,2020-12-14 18:22:24.660013 UTC,1.60797E+15,993
id=-499420239;Autos + Vehicles=false;Style + DIY=false;Gaming=false;Entertainment=false,study_event,1d3e740345da6d251a1c72c59d531f54,2020-12-14 18:22:24.661015 UTC,1.60797E+15,993
id=-499420239;param_condition_previous_total_time=NA;param_esm_question=NA;param_esm_response=NA,study_event,1d3e740345da6d251a1c72c59d531f54,2020-12-14 18:22:24.661018 UTC,1.60797E+15,993
id=-501286418;action=action_session_ended;param_session_id=233;param_timestamp=1607970144671,study_event,1d3e740345da6d251a1c72c59d531f54,2020-12-14 18:22:24.672022 UTC,1.60797E+15,993
id=-501286418;param_video_id=NA;param_video_source=NA;param_video_watch_duration=NA,study_event,1d3e740345da6d251a1c72c59d531f54,2020-12-14 18:22:24.67303 UTC,1.60797E+15,993
id=-501286418;param_video_total_duration=NA;param_session_start_time=1607970141851,study_event,1d3e740345da6d251a1c72c59d531f54,2020-12-14 18:22:24.673031 UTC,1.60797E+15,993
id=684582687;param_condition_previous=NA;param_condition_previous_total_time=NA,study_event,1d3e740345da6d251a1c72c59d531f54,2020-12-14 18:22:25.000037 UTC,1.60797E+15,993
id=684582687;param_esm_question=NA;param_esm_response=NA;param_feed_name=NA;param_feed_new_value=NA,study_event,1d3e740345da6d251a1c72c59d531f54,2020-12-14 18:22:25.000038 UTC,1.60797E+15,993
id=1642927628;param_device=SM-G900V;param_android_id=1c8022350147cc03;Trending=false,study_event,1d3e740345da6d251a1c72c59d531f54,2020-12-14 18:22:25.082044 UTC,1.60797E+15,993
id=1642927628;param_condition_new=NA;param_condition_previous=NA,study_event,1d3e740345da6d251a1c72c59d531f54,2020-12-14 18:22:25.082047 UTC,1.60797E+15,993
id=-1834291503;Autos + Vehicles=false;Style + DIY=false;Gaming=false;Entertainment=false,study_event,1d3e740345da6d251a1c72c59d531f54,2020-12-14 18:22:25.093055 UTC,1.60797E+15,993
id=64066754;param_pid=880000;param_condition=mixed;param_time_zone=Eastern Standard Time,study_event,1d3e740345da6d251a1c72c59d531f54,2020-12-14 18:22:24.603003 UTC,1.60797E+15,993
id=64066754;param_device=SM-G900V;param_android_id=1c8022350147cc03;Trending=false,study_event,1d3e740345da6d251a1c72c59d531f54,2020-12-14 18:22:24.604004 UTC,1.60797E+15,993
id=64066754;param_condition_previous=NA;param_condition_previous_total_time=NA,study_event,1d3e740345da6d251a1c72c59d531f54,2020-12-14 18:22:24.604007 UTC,1.60797E+15,993
id=64066754;param_esm_question=NA;param_esm_response=NA;param_feed_name=NA;param_feed_new_value=NA,study_event,1d3e740345da6d251a1c72c59d531f54,2020-12-14 18:22:24.604008 UTC,1.60797E+15,993
id=-499420239;action=action_session_ended;param_session_id=233;param_timestamp=1607970144660,study_event,1d3e740345da6d251a1c72c59d531f54,2020-12-14 18:22:24.660012 UTC,1.60797E+15,993
id=-499420239;param_video_id=NA;param_video_source=NA;param_video_watch_duration=NA,study_event,1d3e740345da6d251a1c72c59d531f54,2020-12-14 18:22:24.66102 UTC,1.60797E+15,993
id=-501286418;Autos + Vehicles=false;Style + DIY=false;Gaming=false;Entertainment=false,study_event,1d3e740345da6d251a1c72c59d531f54,2020-12-14 18:22:24.673025 UTC,1.60797E+15,993
id=684582687;param_pid=880000;param_condition=mixed;param_time_zone=Eastern Standard Time,study_event,1d3e740345da6d251a1c72c59d531f54,2020-12-14 18:22:24.999033 UTC,1.60797E+15,993
id=1642927628;param_pid=880000;param_condition=mixed;param_time_zone=Eastern Standard Time,study_event,1d3e740345da6d251a1c72c59d531f54,2020-12-14 18:22:25.082043 UTC,1.60797E+15,993
id=1642927628;Comedy=false;Music=false;Pets + Animals=false;toggleSetting=focus,study_event,1d3e740345da6d251a1c72c59d531f54,2020-12-14 18:22:25.082046 UTC,1.60797E+15,993
id=1642927628;param_video_id=NA;param_video_source=NA;param_video_watch_duration=NA,study_event,1d3e740345da6d251a1c72c59d531f54,2020-12-14 18:22:25.08205 UTC,1.60797E+15,993
id=-1834291503;param_pid=880000;param_condition=mixed;param_time_zone=Eastern Standard Time,study_event,1d3e740345da6d251a1c72c59d531f54,2020-12-14 18:22:25.093053 UTC,1.60797E+15,993
id=-1834291503;param_session_start_time=1607970141851,study_event,1d3e740345da6d251a1c72c59d531f54,2020-12-14 18:22:25.094062 UTC,1.60797E+15,993
id=64066754;Autos + Vehicles=false;Style + DIY=false;Gaming=false;Entertainment=false;Comedy=false,study_event,1d3e740345da6d251a1c72c59d531f54,2020-12-14 18:22:24.604005 UTC,1.60797E+15,993
id=64066754;param_session_start_time=1607970141851,study_event,1d3e740345da6d251a1c72c59d531f54,2020-12-14 18:22:24.605011 UTC,1.60797E+15,993
id=-501286418;param_pid=880000;param_condition=mixed;param_time_zone=Eastern Standard Time,study_event,1d3e740345da6d251a1c72c59d531f54,2020-12-14 18:22:24.673023 UTC,1.60797E+15,993
id=-501286418;Comedy=false;Music=false;Pets + Animals=false;toggleSetting=focus,study_event,1d3e740345da6d251a1c72c59d531f54,2020-12-14 18:22:24.673026 UTC,1.60797E+15,993
id=684582687;param_device=SM-G900V;param_android_id=1c8022350147cc03;Trending=false,study_event,1d3e740345da6d251a1c72c59d531f54,2020-12-14 18:22:24.999034 UTC,1.60797E+15,993
id=684582687;Autos + Vehicles=false;Style + DIY=false;Gaming=false;Entertainment=false;Comedy=false,study_event,1d3e740345da6d251a1c72c59d531f54,2020-12-14 18:22:25.000035 UTC,1.60797E+15,993
id=1642927628;action=action_session_ended;param_session_id=233;param_timestamp=1607970145081,study_event,1d3e740345da6d251a1c72c59d531f54,2020-12-14 18:22:25.081042 UTC,1.60797E+15,993
id=1642927628;param_condition_previous_total_time=NA;param_esm_question=NA;param_esm_response=NA,study_event,1d3e740345da6d251a1c72c59d531f54,2020-12-14 18:22:25.082048 UTC,1.60797E+15,993
id=1642927628;param_feed_name=NA;param_feed_new_value=NA;param_current_view=NA;param_search_term=NA,study_event,1d3e740345da6d251a1c72c59d531f54,2020-12-14 18:22:25.082049 UTC,1.60797E+15,993
id=-1834291503;param_condition_previous_total_time=NA;param_esm_question=NA;param_esm_response=NA,study_event,1d3e740345da6d251a1c72c59d531f54,2020-12-14 18:22:25.093058 UTC,1.60797E+15,993
id=96902647;param_pid=880000;param_condition=none;param_time_zone=Pacific Standard Time,study_event,32f877b5fae7319fa44e4f4158db7901,2020-10-29 18:38:50.637002 UTC,1.604E+15,576900
id=96902647;Autos + Vehicles=NA;Style + DIY=NA;Entertainment=NA;Comedy=NA;Gaming=NA;Music=NA,study_event,32f877b5fae7319fa44e4f4158db7901,2020-10-29 18:38:50.638004 UTC,1.604E+15,576900
id=96902647;param_esm_question=NA;param_esm_response=NA;param_feed_name=NA;param_feed_new_value=NA,study_event,32f877b5fae7319fa44e4f4158db7901,2020-10-29 18:38:50.639007 UTC,1.604E+15,576900
id=-1776821570;action=action_video_started;param_session_id=0;param_timestamp=1603996776864,study_event,32f877b5fae7319fa44e4f4158db7901,2020-10-29 18:39:36.866011 UTC,1.604E+15,576900
id=-1776821570;param_device=Moto E (4);param_android_id=8526f4ba19228c88;Trending=NA,study_event,32f877b5fae7319fa44e4f4158db7901,2020-10-29 18:39:36.867013 UTC,1.604E+15,576900
id=-1776821570;Pets + Animals=NA;toggleSetting=NA;param_condition_new=NA,study_event,32f877b5fae7319fa44e4f4158db7901,2020-10-29 18:39:36.869015 UTC,1.604E+15,576900
id=-1776821570;param_condition_previous=NA;param_condition_previous_total_time=NA,study_event,32f877b5fae7319fa44e4f4158db7901,2020-10-29 18:39:36.869016 UTC,1.604E+15,576900
id=-1566040868;param_pid=880000;param_condition=explore;param_time_zone=Pacific Standard Time,study_event,32f877b5fae7319fa44e4f4158db7901,2020-10-29 18:40:13.172027 UTC,1.604E+15,576900
id=-1566040868;param_esm_question=NA;param_esm_response=NA;param_feed_name=NA,study_event,32f877b5fae7319fa44e4f4158db7901,2020-10-29 18:40:13.173032 UTC,1.604E+15,576900
id=-1566040868;param_video_source=NA;param_video_watch_duration=NA;param_video_total_duration=NA,study_event,32f877b5fae7319fa44e4f4158db7901,2020-10-29 18:40:13.173034 UTC,1.604E+15,576900
id=-1566040868;param_session_start_time=1603996730723,study_event,32f877b5fae7319fa44e4f4158db7901,2020-10-29 18:40:13.173035 UTC,1.604E+15,576900
id=-1757770058;param_device=Moto E (4);param_android_id=8526f4ba19228c88;Trending=NA,study_event,32f877b5fae7319fa44e4f4158db7901,2020-10-29 18:40:14.601039 UTC,1.604E+15,576900
id=-1757770058;Autos + Vehicles=NA;Style + DIY=NA;Entertainment=NA;Comedy=NA;Gaming=NA;Music=NA,study_event,32f877b5fae7319fa44e4f4158db7901,2020-10-29 18:40:14.60104 UTC,1.604E+15,576900
id=-1757770058;esmQuestion=1,study_event,32f877b5fae7319fa44e4f4158db7901,2020-10-29 18:40:14.601046 UTC,1.604E+15,576900
id=1782439199;param_pid=880000;param_condition=explore;param_time_zone=Pacific Standard Time,study_event,32f877b5fae7319fa44e4f4158db7901,2020-10-29 18:40:14.823048 UTC,1.604E+15,576900
