event_value,event_name,user_pseudo_id,time_stamp,unix_time_stamp,unix_time_stamp_offset
id=-52724425;param_device=J8170;param_android_id=e32786e559d25202;Style + DIY=NA;Entertainment=NA,study_event,ec5e657e723d68919bc3ad0ef0f75d3e,2021-01-29 18:22:40.330006 UTC,1611944560330006,514918
id=-52724425;param_condition_previous_total_time=NA;param_esm_question=NA;param_esm_response=NA,study_event,ec5e657e723d68919bc3ad0ef0f75d3e,2021-01-29 18:22:40.330009 UTC,1611944560330009,514918
id=-52724425;param_video_id=NA;param_video_source=NA;param_video_watch_duration=NA,study_event,ec5e657e723d68919bc3ad0ef0f75d3e,2021-01-29 18:22:40.331011 UTC,1611944560331011,514918
id=-52724425;Pets + Animals=NA;Music=NA;Autos + Vehicles=NA;Trending=NA;Comedy=NA;Gaming=NA,study_event,ec5e657e723d68919bc3ad0ef0f75d3e,2021-01-29 18:22:40.330007 UTC,1611944560330007,514918
id=-52724425;toggleSetting=explore;param_condition_new=NA;param_condition_previous=NA,study_event,ec5e657e723d68919bc3ad0ef0f75d3e,2021-01-29 18:22:40.330008 UTC,1611944560330008,514918
id=-52724425;action=action_session_ended;param_session_id=26;param_timestamp=1611944560294,study_event,ec5e657e723d68919bc3ad0ef0f75d3e,2021-01-29 18:22:40.329004 UTC,1611944560329004,514918
id=-52724425;param_video_total_duration=NA;param_session_start_time=1611944538480,study_event,ec5e657e723d68919bc3ad0ef0f75d3e,2021-01-29 18:22:40.331012 UTC,1611944560331012,514918
id=-52724425;param_pid=440000;param_condition=mixed;param_time_zone=Pacific Standard Time,study_event,ec5e657e723d68919bc3ad0ef0f75d3e,2021-01-29 18:22:40.329005 UTC,1611944560329005,514918
id=-52724425;param_feed_name=NA;param_feed_new_value=NA;param_current_view=NA;param_search_term=NA,study_event,ec5e657e723d68919bc3ad0ef0f75d3e,2021-01-29 18:22:40.33001 UTC,1611944560330010,514918
id=-247974748;Pets + Animals=NA;toggleSetting=NA;param_condition_new=explore,study_event,3cf9c440354daeb4fe1e70d10aac0d46,2020-11-08 17:20:28.254004 UTC,1604856028254004,23
id=1745499870;action=action_video_started;param_session_id=0;param_timestamp=1604856055375,study_event,3cf9c440354daeb4fe1e70d10aac0d46,2020-11-08 17:20:55.37801 UTC,1604856055378010,23
id=1745499870;Autos + Vehicles=NA;Style + DIY=NA;Entertainment=NA;Comedy=NA;Gaming=NA;Music=NA,study_event,3cf9c440354daeb4fe1e70d10aac0d46,2020-11-08 17:20:55.381013 UTC,1604856055381013,23
id=1745499870;param_video_watch_duration=NA,study_event,3cf9c440354daeb4fe1e70d10aac0d46,2020-11-08 17:20:55.384018 UTC,1604856055384018,23
id=-247974748;action=action_new_condition;param_session_id=-1;param_timestamp=1604856028241,study_event,3cf9c440354daeb4fe1e70d10aac0d46,2020-11-08 17:20:28.25 UTC,1604856028250000,23
id=-247974748;param_video_source=NA;param_video_watch_duration=NA,study_event,3cf9c440354daeb4fe1e70d10aac0d46,2020-11-08 17:20:28.256008 UTC,1604856028256008,23
id=1745499870;param_pid=880000;param_condition=explore;param_time_zone=Pacific Standard Time,study_event,3cf9c440354daeb4fe1e70d10aac0d46,2020-11-08 17:20:55.379011 UTC,1604856055379011,23
id=-247974748;param_device=Moto E (4);param_android_id=8526f4ba19228c88;Trending=NA,study_event,3cf9c440354daeb4fe1e70d10aac0d46,2020-11-08 17:20:28.252002 UTC,1604856028252002,23
id=-247974748;Autos + Vehicles=NA;Style + DIY=NA;Entertainment=NA;Comedy=NA;Gaming=NA;Music=NA,study_event,3cf9c440354daeb4fe1e70d10aac0d46,2020-11-08 17:20:28.253003 UTC,1604856028253003,23
